@RELATION bitcoin 

@ATTRIBUTE time  real 
@ATTRIBUTE  JPYs  real 
@ATTRIBUTE  JPYb  real 
@ATTRIBUTE  USDs  real 
@ATTRIBUTE  USDb real 
@ATTRIBUTE  ISKs  real
@ATTRIBUTE  SGDs  real
@ATTRIBUTE  SGDb  real
@ATTRIBUTE  CNYs  real
@ATTRIBUTE  CNYb  real
@ATTRIBUTE  RUBs  real 
@ATTRIBUTE  RUBb real 
@ATTRIBUTE  CADs  real 
@ATTRIBUTE CADb  real 
@ATTRIBUTE AUDs real 
@ATTRIBUTE AUDb real 

@data
1445413456,32080.66,32196.85,267.82,268.79,33530.8,372.32,373.67,1700.98,1707.14,16628.83,16689.06,347.58,348.83,369.06,370.4
1445414356,31878.73,31975.12,267.9,268.71,33343.64,370.01,371.13,1700.2,1705.35,16534.27,16584.26,345.13,346.17,365.36,366.46
1445416172,31854.93,31933.47,267.7,268.36,33318.75,369.73,370.65,1698.94,1703.12,16521.92,16562.66,344.87,345.72,365.08,365.98
1445417073,32120.66,32197.34,268.07,268.71,33546.28,373.21,374.11,1701.33,1705.39,16774.04,16814.08,348.88,349.72,371.46,372.35
1445417974,32113.47,32137.43,268.01,268.21,33538.77,373.13,373.41,1700.95,1702.22,16770.28,16782.8,348.81,349.07,371.38,371.66
1445418874,32095.49,32118.26,267.86,268.05,33520,372.92,373.19,1699.99,1701.2,16760.9,16772.79,348.61,348.86,371.17,371.43
1445419775,32129.04,32136.23,268.14,268.2,33555.04,373.31,373.4,1701.77,1702.15,16778.42,16782.17,348.97,349.05,371.56,371.64
1445420676,31864.45,31910.86,267.78,268.17,33328.7,369.84,370.38,1699.44,1701.92,16526.86,16550.93,344.97,345.48,365.19,365.72
1445421577,31758.55,31766.88,266.89,266.96,33217.93,368.62,368.71,1693.79,1694.24,16471.93,16476.25,343.83,343.92,363.98,364.07
1445422477,31785.16,31823.5,265.27,265.59,33195.89,369.32,369.76,1683.56,1685.59,16598.83,16618.86,345.24,345.66,367.58,368.02
1445423378,31464.63,31558.64,264.42,265.21,32910.51,365.2,366.29,1678.12,1683.13,16319.49,16368.24,340.64,341.66,360.61,361.69
1445424279,31831.89,31839.08,265.66,265.72,33244.69,369.86,369.94,1686.03,1686.41,16623.24,16626.99,345.75,345.82,368.12,368.21
