@relation mail

@attribute time real
@attribute html real
@attribute text real
@attribute nonmultipart real
@attribute multipart_text real
@attribute multipart_nontext real
@attribute url real
@attribute urlper real
@attribute spam_word real
@attribute spam_f real
@attribute nonspam real
@attribute spam real

@data
1233414000,0,5,1,4,0,11,0.18412443,0.06439419,10,1,4
1233500400,0,4,1,3,0,8,0.18073868,0.03763381,6.25848073,0,4
1233586800,1,7,3,5,0,33,0.59693008,0.06865352,12.41015125,4,4
1233673200,0,10,8,2,0,109,0.67572261,0.08323806,24.08920788,7,3
1233759600,2,8,4,6,0,378,1.22990153,0.08763111,20.59600103,6,4
1233846000,1,6,5,2,0,118,0.60376476,0.05643735,16.78825942,5,2
1233932400,0,10,5,5,0,127,0.84423944,0.105199,23.6835854,6,4
1234018800,0,7,2,5,0,14,0.23804787,0.06087954,10.31829446,2,5
1234105200,0,5,2,3,0,22,0.4214264,0.04926329,7,0,5
1234191600,1,9,4,6,0,58,0.41724372,0.06042604,17.67264804,4,6
1234278000,2,8,5,5,0,335,0.67449437,0.0479761,12.69853883,5,5
1234364400,1,5,2,4,0,89,0.62901899,0.07204622,13.38827651,3,3
1234450800,1,9,4,6,0,153,0.48165422,0.07974171,26.51268906,4,6
1234537200,4,8,5,7,0,154,0.99302407,0.08366616,19.27104161,6,6
1234623600,2,3,0,5,0,12,0.09542673,0.01982293,8,0,5
1234710000,2,4,1,5,0,15,0.24750937,0.0519513,6.62590789,1,5
1234796400,1,7,3,5,0,37,0.45960425,0.05808817,11.56823037,3,5
1234882800,1,10,6,5,0,61,0.63354875,0.08077057,20.51696146,5,6
1234969200,1,7,4,4,0,88,0.57853273,0.06628008,16,5,3
1235055600,1,10,5,6,0,188,0.65649201,0.13559859,23.08066308,6,5
1235142000,2,10,4,8,0,154,1.12931141,0.10479754,20.3396565,6,6
1235228400,0,3,1,2,0,14,0.23909981,0.04456251,4.05554131,1,2
1235314800,2,7,1,8,0,25,0.32760884,0.05229633,14.51482526,1,8
1235401200,5,7,8,4,0,360,1.11564354,0.12224841,16.89506965,9,3
1235487600,6,11,10,7,0,94,0.58210287,0.14758398,29.53618729,9,8
1235574000,1,6,7,0,0,91,0.34993763,0.05988234,28.38878917,6,1
1235660400,1,5,4,2,0,78,0.29994654,0.05132772,24.33324786,5,1
