@relation mail

@attribute IP real
@attribute TIME real
@attribute Message-ID real
@attribute Subject real
@attribute From real
@attribute text_type {HTML, text}
@attribute multipart {non-multipart, multipart_text, multipart_non-text}
@attribute url real
@attribute url_per real
@attribute spam_word_per real
@attribute spam_f real
@attribute spam {non-spam, spam}

@data
40699,1229686737,4,20515,30299,text,multipart_text,3,0.04511278,0.20168067,18.04186429,spam
41453,1229688286,8,21962,30053,text,multipart_text,2,0.01807082,0.13479853,17.65904904,spam
41315,1229698800,12,21472,30591,text,multipart_text,1,0.04007634,0.11736641,4.98412450,spam
41881,1229698800,0,20333,30535,text,non-multipart,0,0.00000000,0.00000000,0.00000000,non-spam
41450,1229698800,4,21553,30603,text,multipart_text,2,0.02598206,0.11320755,11.79816550,spam
41447,1229729348,0,21903,30081,text,multipart_text,2,0.03566879,0.10955414,14.33213124,spam
41409,1229783524,10,22207,30061,text,multipart_text,2,0.01509434,0.11587125,19.27991847,spam
41434,1229785200,0,22166,30678,text,multipart_text,2,0.01843687,0.03126253,7.42620830,spam
40044,1229785200,0,20686,30448,text,non-multipart,4,0.07890223,0.16595197,12.93167653,non-spam
41271,1229785200,4,21949,30520,text,multipart_text,2,0.01939532,0.14717627,22.23354631,spam
41193,1229788023,4,22351,30128,text,multipart_text,3,0.01231838,0.06317119,31.47830348,spam
41726,1229802678,4,21668,30395,text,multipart_text,2,0.02843247,0.18181818,15.44866920,spam
41454,1229821489,9,21466,30134,text,multipart_text,3,0.08176509,0.12264763,10.66140096,spam
40047,1229867679,0,20830,30449,text,non-multipart,5,0.09211053,0.10933120,7.44580769,non-spam
40058,1229871600,0,22124,30448,text,non-multipart,4,0.06993539,0.16533637,12.35741445,non-spam
41192,1229871600,10,22182,30383,text,multipart_text,2,0.01664178,0.14273523,30.37638666,spam
41931,1229871600,12,20197,30106,text,non-multipart,15,0.03645413,0.05992736,32.41825095,non-spam
40828,1229915850,4,20492,30109,text,multipart_text,2,0.02845376,0.18195432,15.44866920,spam
41830,1229918456,15,22072,30824,text,non-multipart,20,0.14325149,0.11811710,30.04366744,non-spam
40100,1229941276,10,20391,30423,HTML,multipart_text,35,0.12654135,0.03781444,19.75422367,non-spam
41320,1229943752,0,21839,30241,text,multipart_text,2,0.03863752,0.13268937,9.69820862,spam
41650,1229958000,0,22285,30567,text,multipart_text,2,0.02565834,0.15597569,14.12331935,spam
41455,1229968280,0,22015,30348,text,multipart_text,2,0.01777778,0.06105263,10.10673827,spam
41898,1229992250,18,21669,30959,text,non-multipart,3,0.09180328,0.22229508,8.92556152,non-spam
40054,1230027140,0,20658,30448,text,non-multipart,5,0.07847151,0.14738997,11.88898906,non-spam
40097,1230044400,10,22067,30423,text,non-multipart,6,0.06990132,0.10855263,16.07737839,non-spam
40082,1230044400,0,22161,30537,text,non-multipart,25,0.26361137,0.05774519,8.26353338,non-spam
40192,1230076982,0,22376,30569,text,multipart_text,6,0.05265797,0.08951856,10.71737682,spam
41287,1230087921,0,21856,30658,text,multipart_text,1,0.01486375,0.15978530,15.38485359,spam
40352,1230095519,4,20491,30302,text,multipart_text,1,0.01155718,0.12317518,13.12375054,spam
40018,1230110559,4,20518,30745,HTML,multipart_text,70,0.33974470,0.00820597,5.09192113,non-spam
40191,1230111852,0,20584,30670,text,multipart_text,2,0.01947881,0.16425375,24.23464388,spam
40006,1230130800,0,22177,31099,text,non-multipart,0,0.00000000,0.26894344,8.16988750,non-spam
40067,1230130800,9,20006,30956,text,non-multipart,14,0.11312938,0.07074570,12.06146368,non-spam
41901,1230153612,11,20322,30394,text,non-multipart,8,0.03775841,0.09892363,20.24659951,non-spam
41902,1230169220,19,22306,30363,text,non-multipart,1,0.01248662,0.11452016,7.98087100,non-spam
40186,1230174861,0,22376,30451,text,multipart_text,6,0.05268440,0.08956347,10.71737682,spam
40078,1230187502,19,21709,30887,text,non-multipart,35,0.16614342,0.04510905,13.54317745,non-spam
41598,1230188897,4,21496,30072,text,multipart_text,2,0.02586794,0.15929204,13.71369213,spam
41194,1230192768,3,22015,30463,text,multipart_text,2,0.02007168,0.06236559,10.10673827,spam
40179,1230206843,6,20086,30206,text,multipart_text,1,0.01488834,0.16004963,15.38485359,spam
41903,1230216052,8,22382,30886,text,non-multipart,29,0.09721702,0.05157244,40.34730116,non-spam
40046,1230217200,0,20824,30449,text,non-multipart,6,0.08435208,0.13569682,11.79730312,non-spam
41912,1230217200,15,21157,30791,text,non-multipart,26,0.07150875,0.12340707,57.23150798,non-spam
40176,1230244215,8,21817,30592,text,multipart_text,2,0.02588556,0.15940054,13.71369213,spam
40043,1230255000,0,20288,30214,HTML,multipart_text,149,0.11619360,0.04257621,77.46634785,non-spam
41047,1230261656,0,21328,30401,text,multipart_text,1,0.00910036,0.13260530,14.08608051,spam
41871,1230272605,0,21087,30876,HTML,multipart_text,33,0.31491294,0.02331567,10.82909333,non-spam
40044,1230282040,0,22145,30448,text,non-multipart,4,0.10580794,0.13973548,7.61436243,non-spam
41548,1230287134,4,22285,30277,text,multipart_text,2,0.02815013,0.15482574,14.12331935,spam
41546,1230303600,0,22351,30346,text,multipart_text,3,0.01230931,0.06312467,31.47830348,spam
41882,1230337980,0,20336,30535,text,non-multipart,0,0.00000000,0.00000000,0.00000000,non-spam
40520,1230341780,4,20110,30225,text,multipart_text,1,0.00927961,0.12307692,16.63921446,spam
40322,1230350834,8,20492,30525,text,multipart_text,2,0.02849644,0.18222722,15.44866920,spam
41174,1230378447,0,22112,30191,text,multipart_text,1,0.00928868,0.12319726,16.63921446,spam
40048,1230390000,0,20828,30449,text,non-multipart,6,0.08096216,0.13024347,10.71890557,non-spam
41147,1230390000,8,21668,30396,text,multipart_text,2,0.02850713,0.18229557,15.44866920,spam
40559,1230390000,0,20594,30270,text,multipart_text,2,0.03718459,0.15803453,13.82168476,spam
41905,1230390000,15,20316,30435,HTML,non-multipart,0,0.00000000,0.00000000,0.00000000,non-spam
41656,1230426260,0,22000,30334,text,multipart_text,2,0.01942767,0.16382253,24.23464388,spam
41903,1230460189,8,22382,30886,text,non-multipart,31,0.09932159,0.05043442,41.81921524,non-spam
40858,1230471562,0,20614,30027,text,multipart_text,2,0.01659346,0.13469985,17.65904904,spam
41195,1230476400,4,21950,30387,text,multipart_text,2,0.01958042,0.14685315,22.30214417,spam
40677,1230476400,0,20117,30349,text,multipart_text,5,0.10251631,0.13140727,11.89682882,spam
41651,1230514200,4,21778,30608,text,multipart_text,2,0.02170088,0.18387097,33.63404022,spam
41654,1230558540,4,22225,30678,text,multipart_text,6,0.05275057,0.08967596,10.71737682,spam
41758,1230562800,8,21424,30461,text,multipart_text,5,0.10314112,0.13220816,11.89682882,spam
